partNo,plateType,material,thickness,width,length,surfaceFinish,usage,pattern,grade,certification,description
5000586,Flat plate,Brass,2.5,250,750,Polished,Decorative,-,-,ASTM certified,Flat plate 2.5mm  250mm  750mm
5000587,Tread plate,Steel,3.5,250,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Tread plate 3.5mm  250mm  1500mm
5000588,Checker plate,Aluminum,1.5,250,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Checker plate 1.5mm  250mm  500mm
5000589,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Perforated plate 3.5mm  250mm  1000mm
5000590,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Diamond plate 1.5mm  250mm  750mm
5000591,Diamond plate,Brass,5,300,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Diamond plate 5mm  300mm  750mm
5000592,Flat plate,Steel,4,200,750,Powder-coated,Decorative,Raised,Grade 6118,RoHS compliant,Flat plate 4mm  200mm  750mm
5000593,Tread plate,Aluminum,2,250,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Tread plate 2mm  250mm  750mm
5000594,Checker plate,Stainless steel,2.5,150,750,Powder-coated,Decorative,-,Grade 656602,ASTM certified,Checker plate 2.5mm  150mm  750mm
5000595,Perforated plate,Aluminum,3.5,300,1000,Powder-coated,Automotive,Diamond,Grade 662359,RoHS compliant,Perforated plate 3.5mm  300mm  1000mm
5000596,Diamond plate,Brass,1.5,100,750,Polished,Industrial,-,-,ISO 9001 certified,Diamond plate 1.5mm  100mm  750mm
5000597,Diamond plate,Steel,3.5,250,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Diamond plate 3.5mm  250mm  1500mm
5000598,Flat plate,Aluminum,1.5,200,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Flat plate 1.5mm  200mm  500mm
5000599,Tread plate,Stainless steel,5,150,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Tread plate 5mm  150mm  1000mm
5000600,Checker plate,Aluminum,4,250,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Checker plate 4mm  250mm  750mm
5000601,Perforated plate,Brass,2,250,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Perforated plate 2mm  250mm  750mm
5000602,Diamond plate,Steel,2.5,250,750,Powder-coated,Decorative,Raised,Grade 6119,ASTM certified,Diamond plate 2.5mm  250mm  750mm
5000603,Diamond plate,Aluminum,3.5,250,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Diamond plate 3.5mm  250mm  750mm
5000604,Flat plate,Stainless steel,1.5,250,750,Powder-coated,Industrial,-,Grade 668116,ISO 9001 certified,Flat plate 1.5mm  250mm  750mm
5000605,Tread plate,Aluminum,3.5,250,1000,Powder-coated,Industrial,Diamond,Grade 673873,RoHS compliant,Tread plate 3.5mm  250mm  1000mm
5000606,Checker plate,Brass,1.5,300,750,Polished,Automotive,-,-,ASTM certified,Checker plate 1.5mm  300mm  750mm
5000607,Perforated plate,Steel,5,200,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Perforated plate 5mm  200mm  1500mm
5000608,Diamond plate,Aluminum,4,250,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Diamond plate 4mm  250mm  500mm
5000609,Diamond plate,Stainless steel,2,150,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Diamond plate 2mm  150mm  1000mm
5000610,Flat plate,Aluminum,2.5,300,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Flat plate 2.5mm  300mm  750mm
5000611,Tread plate,Brass,3.5,100,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Tread plate 3.5mm  100mm  750mm
5000612,Checker plate,Steel,1.5,250,750,Powder-coated,Industrial,Raised,Grade 6120,ISO 9001 certified,Checker plate 1.5mm  250mm  750mm
5000613,Perforated plate,Aluminum,3.5,200,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Perforated plate 3.5mm  200mm  750mm
5000614,Diamond plate,Stainless steel,1.5,150,750,Powder-coated,Automotive,-,Grade 679630,ASTM certified,Diamond plate 1.5mm  150mm  750mm
5000615,Diamond plate,Aluminum,5,250,1000,Powder-coated,Industrial,Diamond,Grade 685387,ISO 9001 certified,Diamond plate 5mm  250mm  1000mm
5000616,Flat plate,Brass,4,250,750,Polished,Decorative,-,-,RoHS compliant,Flat plate 4mm  250mm  750mm
5000617,Tread plate,Steel,2,250,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Tread plate 2mm  250mm  1500mm
5000618,Checker plate,Aluminum,2.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Checker plate 2.5mm  250mm  500mm
5000619,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Perforated plate 3.5mm  250mm  1000mm
5000620,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Diamond plate 1.5mm  250mm  750mm
5000621,Diamond plate,Brass,3.5,300,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Diamond plate 3.5mm  300mm  750mm
5000622,Flat plate,Steel,1.5,200,750,Powder-coated,Automotive,Raised,Grade 6121,ASTM certified,Flat plate 1.5mm  200mm  750mm
5000623,Tread plate,Aluminum,5,250,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Tread plate 5mm  250mm  750mm
5000624,Checker plate,Stainless steel,4,150,750,Powder-coated,Decorative,-,Grade 691144,RoHS compliant,Checker plate 4mm  150mm  750mm
5000625,Perforated plate,Aluminum,2,300,1000,Powder-coated,Construction,Diamond,Grade 696901,ISO 9001 certified,Perforated plate 2mm  300mm  1000mm
5000626,Diamond plate,Brass,2.5,100,750,Polished,Decorative,-,-,ASTM certified,Diamond plate 2.5mm  100mm  750mm
5000627,Diamond plate,Steel,3.5,250,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Diamond plate 3.5mm  250mm  1500mm
5000628,Flat plate,Aluminum,1.5,200,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Flat plate 1.5mm  200mm  500mm
5000629,Tread plate,Stainless steel,3.5,150,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Tread plate 3.5mm  150mm  1000mm
5000630,Checker plate,Aluminum,1.5,250,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Checker plate 1.5mm  250mm  750mm
5000631,Perforated plate,Brass,5,250,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Perforated plate 5mm  250mm  750mm
5000632,Diamond plate,Steel,4,250,750,Powder-coated,Decorative,Raised,Grade 6122,RoHS compliant,Diamond plate 4mm  250mm  750mm
5000633,Diamond plate,Aluminum,2,250,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Diamond plate 2mm  250mm  750mm
5000634,Flat plate,Stainless steel,2.5,250,750,Powder-coated,Decorative,-,Grade 702658,ASTM certified,Flat plate 2.5mm  250mm  750mm
5000635,Tread plate,Aluminum,3.5,250,1000,Powder-coated,Automotive,Diamond,Grade 708415,RoHS compliant,Tread plate 3.5mm  250mm  1000mm
5000636,Checker plate,Brass,1.5,300,750,Polished,Industrial,-,-,ISO 9001 certified,Checker plate 1.5mm  300mm  750mm
5000637,Perforated plate,Steel,3.5,200,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Perforated plate 3.5mm  200mm  1500mm
5000638,Diamond plate,Aluminum,1.5,250,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Diamond plate 1.5mm  250mm  500mm
5000639,Diamond plate,Stainless steel,5,150,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Diamond plate 5mm  150mm  1000mm
5000640,Flat plate,Aluminum,4,300,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Flat plate 4mm  300mm  750mm
5000641,Tread plate,Brass,2,100,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Tread plate 2mm  100mm  750mm
5000642,Checker plate,Steel,2.5,250,750,Powder-coated,Decorative,Raised,Grade 6123,ASTM certified,Checker plate 2.5mm  250mm  750mm
5000643,Perforated plate,Aluminum,3.5,200,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Perforated plate 3.5mm  200mm  750mm
5000644,Diamond plate,Stainless steel,1.5,150,750,Powder-coated,Industrial,-,Grade 714172,ISO 9001 certified,Diamond plate 1.5mm  150mm  750mm
5000645,Diamond plate,Aluminum,3.5,250,1000,Powder-coated,Industrial,Diamond,Grade 719929,RoHS compliant,Diamond plate 3.5mm  250mm  1000mm
5000646,Flat plate,Brass,1.5,250,750,Polished,Automotive,-,-,ASTM certified,Flat plate 1.5mm  250mm  750mm
5000647,Tread plate,Steel,5,250,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Tread plate 5mm  250mm  1500mm
5000648,Checker plate,Aluminum,4,250,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Checker plate 4mm  250mm  500mm
5000649,Perforated plate,Stainless steel,2,250,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Perforated plate 2mm  250mm  1000mm
5000650,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Diamond plate 2.5mm  250mm  750mm
5000651,Diamond plate,Brass,3.5,300,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Diamond plate 3.5mm  300mm  750mm
5000652,Flat plate,Steel,1.5,200,750,Powder-coated,Industrial,Raised,Grade 6124,ISO 9001 certified,Flat plate 1.5mm  200mm  750mm
5000653,Tread plate,Aluminum,3.5,250,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Tread plate 3.5mm  250mm  750mm
5000654,Checker plate,Stainless steel,1.5,150,750,Powder-coated,Automotive,-,Grade 725686,ASTM certified,Checker plate 1.5mm  150mm  750mm
5000655,Perforated plate,Aluminum,5,300,1000,Powder-coated,Industrial,Diamond,Grade 731443,ISO 9001 certified,Perforated plate 5mm  300mm  1000mm
5000656,Diamond plate,Brass,4,100,750,Polished,Decorative,-,-,RoHS compliant,Diamond plate 4mm  100mm  750mm
5000657,Diamond plate,Steel,2,250,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Diamond plate 2mm  250mm  1500mm
5000658,Flat plate,Aluminum,2.5,200,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Flat plate 2.5mm  200mm  500mm
5000659,Tread plate,Stainless steel,3.5,150,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Tread plate 3.5mm  150mm  1000mm
5000660,Checker plate,Aluminum,1.5,250,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Checker plate 1.5mm  250mm  750mm
5000661,Perforated plate,Brass,3.5,250,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Perforated plate 3.5mm  250mm  750mm
5000662,Diamond plate,Steel,1.5,250,750,Powder-coated,Automotive,Raised,Grade 6125,ASTM certified,Diamond plate 1.5mm  250mm  750mm
5000663,Diamond plate,Aluminum,5,250,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Diamond plate 5mm  250mm  750mm
5000664,Flat plate,Stainless steel,4,250,750,Powder-coated,Decorative,-,Grade 737200,RoHS compliant,Flat plate 4mm  250mm  750mm
5000665,Tread plate,Aluminum,2,250,1000,Powder-coated,Construction,Diamond,Grade 742957,ISO 9001 certified,Tread plate 2mm  250mm  1000mm
5000666,Checker plate,Brass,2.5,300,750,Polished,Decorative,-,-,ASTM certified,Checker plate 2.5mm  300mm  750mm
5000667,Perforated plate,Steel,3.5,200,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Perforated plate 3.5mm  200mm  1500mm
5000668,Diamond plate,Aluminum,1.5,250,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Diamond plate 1.5mm  250mm  500mm
5000669,Diamond plate,Stainless steel,3.5,150,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Diamond plate 3.5mm  150mm  1000mm
5000670,Flat plate,Aluminum,1.5,300,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Flat plate 1.5mm  300mm  750mm
5000671,Tread plate,Brass,5,100,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Tread plate 5mm  100mm  750mm
5000672,Checker plate,Steel,4,250,750,Powder-coated,Decorative,Raised,Grade 6126,RoHS compliant,Checker plate 4mm  250mm  750mm
5000673,Perforated plate,Aluminum,2,200,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Perforated plate 2mm  200mm  750mm
5000674,Diamond plate,Stainless steel,2.5,150,750,Powder-coated,Decorative,-,Grade 748714,ASTM certified,Diamond plate 2.5mm  150mm  750mm
5000675,Diamond plate,Aluminum,3.5,250,1000,Powder-coated,Automotive,Diamond,Grade 754471,RoHS compliant,Diamond plate 3.5mm  250mm  1000mm
5000676,Flat plate,Brass,1.5,250,750,Polished,Industrial,-,-,ISO 9001 certified,Flat plate 1.5mm  250mm  750mm
5000677,Tread plate,Steel,3.5,250,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Tread plate 3.5mm  250mm  1500mm
5000678,Checker plate,Aluminum,1.5,250,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Checker plate 1.5mm  250mm  500mm
5000679,Perforated plate,Stainless steel,5,250,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Perforated plate 5mm  250mm  1000mm
5000680,Diamond plate,Aluminum,4,250,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Diamond plate 4mm  250mm  750mm
5000681,Diamond plate,Brass,2,300,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Diamond plate 2mm  300mm  750mm
5000682,Flat plate,Steel,2.5,200,750,Powder-coated,Decorative,Raised,Grade 6127,ASTM certified,Flat plate 2.5mm  200mm  750mm
5000683,Tread plate,Aluminum,3.5,250,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Tread plate 3.5mm  250mm  750mm
5000684,Checker plate,Stainless steel,1.5,150,750,Powder-coated,Industrial,-,Grade 760228,ISO 9001 certified,Checker plate 1.5mm  150mm  750mm
5000685,Perforated plate,Aluminum,3.5,300,1000,Powder-coated,Industrial,Diamond,Grade 765985,RoHS compliant,Perforated plate 3.5mm  300mm  1000mm
5000686,Diamond plate,Brass,1.5,100,750,Polished,Automotive,-,-,ASTM certified,Diamond plate 1.5mm  100mm  750mm
5000687,Diamond plate,Steel,5,250,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Diamond plate 5mm  250mm  1500mm
5000688,Flat plate,Aluminum,4,200,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Flat plate 4mm  200mm  500mm
5000689,Tread plate,Stainless steel,2,150,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Tread plate 2mm  150mm  1000mm
5000690,Checker plate,Aluminum,2.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Checker plate 2.5mm  250mm  750mm
5000691,Perforated plate,Brass,3.5,250,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Perforated plate 3.5mm  250mm  750mm
5000692,Diamond plate,Steel,1.5,250,750,Powder-coated,Industrial,Raised,Grade 6128,ISO 9001 certified,Diamond plate 1.5mm  250mm  750mm
5000693,Diamond plate,Aluminum,3.5,250,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Diamond plate 3.5mm  250mm  750mm
5000694,Flat plate,Stainless steel,1.5,250,750,Powder-coated,Automotive,-,Grade 771742,ASTM certified,Flat plate 1.5mm  250mm  750mm
5000695,Tread plate,Aluminum,5,250,1000,Powder-coated,Industrial,Diamond,Grade 777499,ISO 9001 certified,Tread plate 5mm  250mm  1000mm
5000696,Checker plate,Brass,4,300,750,Polished,Decorative,-,-,RoHS compliant,Checker plate 4mm  300mm  750mm
5000697,Perforated plate,Steel,2,200,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Perforated plate 2mm  200mm  1500mm
5000698,Diamond plate,Aluminum,2.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Diamond plate 2.5mm  250mm  500mm
5000699,Diamond plate,Stainless steel,3.5,150,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Diamond plate 3.5mm  150mm  1000mm
5000700,Flat plate,Aluminum,1.5,300,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Flat plate 1.5mm  300mm  750mm
5000701,Tread plate,Brass,3.5,100,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Tread plate 3.5mm  100mm  750mm
5000702,Checker plate,Steel,1.5,250,750,Powder-coated,Automotive,Raised,Grade 6129,ASTM certified,Checker plate 1.5mm  250mm  750mm
5000703,Perforated plate,Aluminum,5,200,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Perforated plate 5mm  200mm  750mm
5000704,Diamond plate,Stainless steel,4,150,750,Powder-coated,Decorative,-,Grade 783256,RoHS compliant,Diamond plate 4mm  150mm  750mm
5000705,Diamond plate,Aluminum,2,250,1000,Powder-coated,Construction,Diamond,Grade 789013,ISO 9001 certified,Diamond plate 2mm  250mm  1000mm
5000706,Flat plate,Brass,2.5,250,750,Polished,Decorative,-,-,ASTM certified,Flat plate 2.5mm  250mm  750mm
5000707,Tread plate,Steel,3.5,250,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Tread plate 3.5mm  250mm  1500mm
5000708,Checker plate,Aluminum,1.5,250,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Checker plate 1.5mm  250mm  500mm
5000709,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Perforated plate 3.5mm  250mm  1000mm
5000710,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Diamond plate 1.5mm  250mm  750mm
5000711,Diamond plate,Brass,5,300,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Diamond plate 5mm  300mm  750mm
5000712,Flat plate,Steel,4,200,750,Powder-coated,Decorative,Raised,Grade 6130,RoHS compliant,Flat plate 4mm  200mm  750mm
5000713,Tread plate,Aluminum,2,250,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Tread plate 2mm  250mm  750mm
5000714,Checker plate,Stainless steel,2.5,150,750,Powder-coated,Decorative,-,Grade 794770,ASTM certified,Checker plate 2.5mm  150mm  750mm
5000715,Perforated plate,Aluminum,3.5,300,1000,Powder-coated,Automotive,Diamond,Grade 800527,RoHS compliant,Perforated plate 3.5mm  300mm  1000mm
5000716,Diamond plate,Brass,1.5,100,750,Polished,Industrial,-,-,ISO 9001 certified,Diamond plate 1.5mm  100mm  750mm
5000717,Diamond plate,Steel,3.5,250,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Diamond plate 3.5mm  250mm  1500mm
5000718,Flat plate,Aluminum,1.5,200,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Flat plate 1.5mm  200mm  500mm
5000719,Tread plate,Stainless steel,5,150,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Tread plate 5mm  150mm  1000mm
5000720,Checker plate,Aluminum,4,250,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Checker plate 4mm  250mm  750mm
5000721,Perforated plate,Brass,2,250,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Perforated plate 2mm  250mm  750mm
5000722,Diamond plate,Steel,2.5,250,750,Powder-coated,Decorative,Raised,Grade 6131,ASTM certified,Diamond plate 2.5mm  250mm  750mm
5000723,Diamond plate,Aluminum,3.5,250,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Diamond plate 3.5mm  250mm  750mm
5000724,Flat plate,Stainless steel,1.5,250,750,Powder-coated,Industrial,-,Grade 806284,ISO 9001 certified,Flat plate 1.5mm  250mm  750mm
5000725,Tread plate,Aluminum,3.5,250,1000,Powder-coated,Industrial,Diamond,Grade 812041,RoHS compliant,Tread plate 3.5mm  250mm  1000mm
5000726,Checker plate,Brass,1.5,300,750,Polished,Automotive,-,-,ASTM certified,Checker plate 1.5mm  300mm  750mm
5000727,Perforated plate,Steel,5,200,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Perforated plate 5mm  200mm  1500mm
5000728,Diamond plate,Aluminum,4,250,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Diamond plate 4mm  250mm  500mm
5000729,Diamond plate,Stainless steel,2,150,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Diamond plate 2mm  150mm  1000mm
5000730,Flat plate,Aluminum,2.5,300,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Flat plate 2.5mm  300mm  750mm
5000731,Tread plate,Brass,3.5,100,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Tread plate 3.5mm  100mm  750mm
5000732,Checker plate,Steel,1.5,250,750,Powder-coated,Industrial,Raised,Grade 6132,ISO 9001 certified,Checker plate 1.5mm  250mm  750mm
5000733,Perforated plate,Aluminum,3.5,200,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Perforated plate 3.5mm  200mm  750mm
5000734,Diamond plate,Stainless steel,1.5,150,750,Powder-coated,Automotive,-,Grade 817798,ASTM certified,Diamond plate 1.5mm  150mm  750mm
5000735,Diamond plate,Aluminum,5,250,1000,Powder-coated,Industrial,Diamond,Grade 823555,ISO 9001 certified,Diamond plate 5mm  250mm  1000mm
5000736,Flat plate,Brass,4,250,750,Polished,Decorative,-,-,RoHS compliant,Flat plate 4mm  250mm  750mm
5000737,Tread plate,Steel,2,250,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Tread plate 2mm  250mm  1500mm
5000738,Checker plate,Aluminum,2.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Checker plate 2.5mm  250mm  500mm
5000739,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Perforated plate 3.5mm  250mm  1000mm
5000740,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Diamond plate 1.5mm  250mm  750mm
5000741,Diamond plate,Brass,3.5,300,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Diamond plate 3.5mm  300mm  750mm
5000742,Flat plate,Steel,1.5,200,750,Powder-coated,Automotive,Raised,Grade 6133,ASTM certified,Flat plate 1.5mm  200mm  750mm
5000743,Tread plate,Aluminum,5,250,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Tread plate 5mm  250mm  750mm
5000744,Checker plate,Stainless steel,4,150,750,Powder-coated,Decorative,-,Grade 829312,RoHS compliant,Checker plate 4mm  150mm  750mm
5000745,Perforated plate,Aluminum,2,300,1000,Powder-coated,Construction,Diamond,Grade 835069,ISO 9001 certified,Perforated plate 2mm  300mm  1000mm
5000746,Diamond plate,Brass,2.5,100,750,Polished,Decorative,-,-,ASTM certified,Diamond plate 2.5mm  100mm  750mm
5000747,Diamond plate,Steel,3.5,250,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Diamond plate 3.5mm  250mm  1500mm
5000748,Flat plate,Aluminum,1.5,200,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Flat plate 1.5mm  200mm  500mm
5000749,Tread plate,Stainless steel,3.5,150,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Tread plate 3.5mm  150mm  1000mm
5000750,Checker plate,Aluminum,1.5,250,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Checker plate 1.5mm  250mm  750mm
5000751,Perforated plate,Brass,5,250,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Perforated plate 5mm  250mm  750mm
5000752,Diamond plate,Steel,4,250,750,Powder-coated,Decorative,Raised,Grade 6134,RoHS compliant,Diamond plate 4mm  250mm  750mm
5000753,Diamond plate,Aluminum,2,250,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Diamond plate 2mm  250mm  750mm
5000754,Flat plate,Stainless steel,2.5,250,750,Powder-coated,Decorative,-,Grade 840826,ASTM certified,Flat plate 2.5mm  250mm  750mm
5000755,Tread plate,Aluminum,3.5,250,1000,Powder-coated,Automotive,Diamond,Grade 846583,RoHS compliant,Tread plate 3.5mm  250mm  1000mm
5000756,Checker plate,Brass,1.5,300,750,Polished,Industrial,-,-,ISO 9001 certified,Checker plate 1.5mm  300mm  750mm
5000757,Perforated plate,Steel,3.5,200,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Perforated plate 3.5mm  200mm  1500mm
5000758,Diamond plate,Aluminum,1.5,250,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Diamond plate 1.5mm  250mm  500mm
5000759,Diamond plate,Stainless steel,5,150,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Diamond plate 5mm  150mm  1000mm
5000760,Flat plate,Aluminum,4,300,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Flat plate 4mm  300mm  750mm
5000761,Tread plate,Brass,2,100,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Tread plate 2mm  100mm  750mm
5000762,Checker plate,Steel,2.5,250,750,Powder-coated,Decorative,Raised,Grade 6135,ASTM certified,Checker plate 2.5mm  250mm  750mm
5000763,Perforated plate,Aluminum,3.5,200,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Perforated plate 3.5mm  200mm  750mm
5000764,Diamond plate,Stainless steel,1.5,150,750,Powder-coated,Industrial,-,Grade 852340,ISO 9001 certified,Diamond plate 1.5mm  150mm  750mm
5000765,Diamond plate,Aluminum,3.5,250,1000,Powder-coated,Industrial,Diamond,Grade 858097,RoHS compliant,Diamond plate 3.5mm  250mm  1000mm
5000766,Flat plate,Brass,1.5,250,750,Polished,Automotive,-,-,ASTM certified,Flat plate 1.5mm  250mm  750mm
5000767,Tread plate,Steel,5,250,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Tread plate 5mm  250mm  1500mm
5000768,Checker plate,Aluminum,4,250,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Checker plate 4mm  250mm  500mm
5000769,Perforated plate,Stainless steel,2,250,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Perforated plate 2mm  250mm  1000mm
5000770,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Diamond plate 2.5mm  250mm  750mm
5000771,Diamond plate,Brass,3.5,300,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Diamond plate 3.5mm  300mm  750mm
5000772,Flat plate,Steel,1.5,200,750,Powder-coated,Industrial,Raised,Grade 6136,ISO 9001 certified,Flat plate 1.5mm  200mm  750mm
5000773,Tread plate,Aluminum,3.5,250,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Tread plate 3.5mm  250mm  750mm
5000774,Checker plate,Stainless steel,1.5,150,750,Powder-coated,Automotive,-,Grade 863854,ASTM certified,Checker plate 1.5mm  150mm  750mm
5000775,Perforated plate,Aluminum,5,300,1000,Powder-coated,Industrial,Diamond,Grade 869611,ISO 9001 certified,Perforated plate 5mm  300mm  1000mm
5000776,Diamond plate,Brass,4,100,750,Polished,Decorative,-,-,RoHS compliant,Diamond plate 4mm  100mm  750mm
5000777,Diamond plate,Steel,2,250,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Diamond plate 2mm  250mm  1500mm
5000778,Flat plate,Aluminum,2.5,200,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Flat plate 2.5mm  200mm  500mm
